code,kind,name
006049,service,Digitalna štampa cenovnika
006050,service,Štampa blokčićča A5
006052,article,Kese za vino
006060,service,Štampa fascikli
006061,service,Štampa vizit karata
006063,service,Štampa cerade
006064,service,Štampa pvc kartica
006065,service,Štampa postera B2
006066,service,Štampa blokčića A6
006067,service,Štampa i laminacija A6 akreditacije
006068,service,Štampa zahvalnica A4
006072,service,Štampa jelovnika A3
006073,service,Štampa kataloga A5
006077,service,Štampa kartica
006078,service,Štampa papirića za kocke
006080,service,Štampa na akreditacionim trakama
006082,service,Štampa i kaširanje forex table
006085,service,Papirne etikete 9x5cm
006088,service,Štampa kartica za holder
006089,service,Štampa postera
006093,service,Štampa jelovnika
006097,service,Štampa servisnih knjižica
006098,service,Štampa deklaracija - roštilj meso
006099,service,Deklaracije -extra đunta
006100,service,Deklaracije - punjeno roštilj meso
006102,service,Deklaracije - drvce roštilj
006103,service,Deklaracije - ćevapi
006105,service,Deklaracije - gurmansko roštilj meso
006107,service,Štampa jelovnika
006109,service,Štampa papirnih kesa
006110,service,Štampa garantnih listova
006114,service,Štampa fascikli
006116,article,ID graverske pločice
006118,service,Štampa + kaširanje na peni
006119,service,PVC nalepnice Ice body
006124,service,Digitalna štampa postera
006127,service,Izrada grafičkog dizajna
006145,service,Garantni list VP Power 30 mes
006146,service,Usluge štampe
006148,service,Štampa koverti
006151,service,Štampa cenovnika
006157,service,Usluge grafičkog dizajna
006161,service,Izrada plakata
006163,article,Fleš memorija sa gravurom 1/0
006165,service,Digitalna štampa kataloga
006166,service,Usluge grafičkog dizajna
006167,service,Štampa plakata
006169,service,Usluga spiralnog poveza
006171,service,Štampa stikera + smola
006175,article,Marker - crni
006176,service,Deklaracije muflon 1/0
006177,service,Štampa papirnih etiketa
006178,service,Štampa pozadine za slikanje A3
006184,service,Građevinska tabla
006194,service,Štampa deklaracija
006197,service,Štampa cenovnika
006198,service,Štampa kartončića za cene 90x50
006200,service,Podmetači za čaše
006204,service,Štampa cenovnika
006207,article,Graverske pločice
006209,service,Uslužno sečenje
006210,service,Štampa muflona
006212,service,Uslužno sečenje papira
006215,service,Usluga štampe
006217,service,Štampa NCR blokova
006219,service,Štampa PVC nalepnica + lepljenje
006220,service,Štampa velikog formata
006221,service,Štampa flajera sa savijanjem
006224,service,Katovanje folije + transfer
006228,service,Papirni podmetači
006233,service,Štampa vizit kartica - specijal As
006237,service,Digitalna štampa brošura
006240,article,Fotokopir papir
006241,service,Nalepnice Gamanorm 10 ml
006242,service,Nalepnice Gamanorm 20 ml
006243,service,Štampa garantnih markica
006246,service,Štampa postera B1
006247,service,Štampa postera B2
006248,service,Štampa postera A3
006249,service,Štampa NCR blokova
006250,service,Štampa i izrada kesa
006251,service,Štampa nalepnica
006253,service,Usluge štampe
006254,service,Štampa velikog formata
006258,service,Usluga izrade grafičkog dizajna
006262,service,Usluge graviranja - fiber laserom
006263,service,Štampa svetleće reklame
006264,service,Izrada i montaža 3 d slova
006265,service,Štampa na majicama
006269,article,Registrator široki-tvrdi povez
006277,article,Korektor belilo - bočica
006278,article,Korektor belilo - olovka
006279,article,Markeri - mix faber castel
006281,article,Registratori uski - tvrdi povez
006283,service,Štampa muflon nalepnica
006287,service,Štampa flajera
006288,service,Štampa memoranduma
006289,service,Štampa na vadičepovima
006291,service,Štampa komplet nalepnica
006297,service,Štampa postera
006298,service,Cene za proizvode
006300,service,Štampa i ringličenje Mesh
006301,service,Ceradno platno
006303,service,Ameriken koverte 1/0
006304,article,Kompetitor koverte
006305,service,Štampa nalepnica za kompetitor koverte
006306,service,Signature 1x4 cm
006307,service,Signature 2x4 cm
006308,service,Signature 3x6 cm
006310,service,Usluge štampe
006312,service,Štampa kartica -džepovi za ključeve
006313,article,Card holder- kartica za sobe
006314,service,Štampa poster A3
006315,article,Kliritni stalak za knjigu utisaka
006316,article,Kliritni stalak - lapići
006317,article,Vezice za mape sa štipaljkom
006318,service,Štampa pvc -antilia
006320,service,Štampa pvc - L group
006321,service,Štampa pvc - Gold residence
006322,service,Štampa deklaracija
006325,service,Usluge grafičkog dizajna
